dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
3,32,1.0,1.0,5.0,0.38974563469773305,0.004989329120138219,5.105088062083414,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.4450637648332504,0.003890718921564953,5.301437602932776,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.5027729983869378,0.00787264157768438,5.497787143782138,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.5729005106008451,0.005944305846808389,5.6941366846315,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.6599586590258273,0.010412021014736546,5.890486225480862,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.6981641175071702,0.00826937931583715,6.086835766330224,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,10.0,0.5799978894213601,0.0077753790400777395,0.0,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.5812972876748492,0.008826993810057235,0.19634954084936207,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.5435063540113603,0.006017711134087397,0.39269908169872414,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.49122829264010043,0.007224581149684181,0.5890486225480862,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.4377171110657024,0.0037177727808379944,0.7853981633974483,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.38527886928968813,0.005307940284334024,0.9817477042468103,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.3323957163508733,0.0047854351376039736,1.1780972450961724,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.3024078976237753,0.0034961351007693014,1.3744467859455345,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.26930581452188257,0.0030452579968817434,1.5707963267948966,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.24467883286080988,0.0032124095610685786,1.7671458676442586,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.2220110858452748,0.0032052851143499644,1.9634954084936207,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.2069424748353689,0.003262707181007352,2.1598449493429825,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.19329435152065663,0.0026971260976863093,2.356194490192345,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.18497663701117184,0.001695164539488144,2.552544031041707,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.18248738987148075,0.0020578448327626094,2.748893571891069,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.18104464541113227,0.002570421815077018,2.945243112740431,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.17006767731276332,0.0020275955734250332,3.141592653589793,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.18104464541113227,0.002570421815077018,3.3379421944391554,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.18248738987148075,0.0020578448327626094,3.5342917352885173,0.9602571428571428,10000,70000,10,30,,7000,2797671977
3,32,1.0,1.0,10.0,0.18497663701117184,0.001695164539488144,3.730641276137879,0.9602571428571428,10000,70000,10,30,,7000,2797671977
